Protein Name,Tiny,Small,Aliphatic,Aromatic,Non-Polar,Polar,Charged,Basic,Acidic,Molecular Weight,Charge,A280 Molar Extinction Coefficients,Improbability of expression in inclusion bodies,Isoelectric Point,CAI,Instability Index,Aliphatic Index,GRAVY,N-30 Disorder,GPC Content,Effector
STM0309,26.667,36.667,56.667,13.333,76.667,23.333,6.667,6.667,0,89216.3,1.5,1490,0.681,8,0.731,40.12,191.67,2.023,0.250806667,56.03271984,FALSE
STM0310,20,43.333,40,10,50,50,30,10,20,20895.8,-3.5,1490,0.943,5.97,0.757,39.01,107.67,-0.323,0.408566667,47.66839378,FALSE
STM0317,20,33.333,26.667,13.333,50,50,30,20,10,16969.6,2.5,12490,0.675,5.77,0.777,75.37,78,-0.52,0.236596667,53.15904139,FALSE
STM0329,20,36.667,33.333,13.333,46.667,53.333,36.667,16.667,20,51445.7,-2,2980,0.979,5.65,0.641,22.88,113.67,-0.303,0.301053333,51.40646976,FALSE
STM0347,30,46.667,36.667,10,60,40,13.333,3.333,10,24834.9,-2,4470,0.724,9.05,0.581,18.89,130,0.423,0.305013333,39.71962617,FALSE
STM0357,20,43.333,26.667,13.333,46.667,53.333,26.667,13.333,13.333,73336.4,-0.5,0,0.629,5.4,0.707,54.56,71.67,-0.583,0.548133333,46.75855028,FALSE
STM0361,20,46.667,46.667,16.667,83.333,16.667,10,0,10,37296.1,-3,6990,0.97,6.37,0.724,27.89,149.33,1.73,0.110786667,55.19287834,FALSE
STM0380,33.333,53.333,40,6.667,56.667,43.333,26.667,16.667,10,39356.7,1.5,0,0.862,5.39,0.686,39.97,104,0.16,0.313436667,52.23744292,FALSE
STM0393,26.667,43.333,30,6.667,53.333,46.667,36.667,20,16.667,32245.3,0.5,0,0.5,5.23,0.743,28.77,94.33,-0.443,0.167966667,58.08580858,FALSE
STM0405,26.667,50,23.333,10,53.333,46.667,36.667,20,16.667,42521.5,1,0,0.56,6.15,0.726,26.11,61.67,-0.427,0.4593,52.4822695,FALSE
STM0421,36.667,56.667,16.667,6.667,53.333,46.667,16.667,10,6.667,36161.9,1,1490,0.978,5.31,0.699,40.52,61.67,-0.39,0.239806667,56.92307692,FALSE
STM0441,40,50,23.333,30,46.667,53.333,33.333,23.333,10,22627.6,1,5500,0.939,6.62,0.738,2.2,42.67,-0.69,0.575886667,53.49593496,FALSE
STM0454,13.333,33.333,30,20,50,50,30,16.667,13.333,15093.2,0,4470,0.893,5.12,0.732,3.27,87.67,-0.633,0.243606667,47.11779449,FALSE
STM0457,33.333,46.667,36.667,10,60,40,30,16.667,13.333,30103.5,0,0,0.893,5.82,0.684,27.2,94.67,0.087,0.139943333,54.57875458,FALSE
STM0472,30,43.333,23.333,3.333,46.667,53.333,33.333,16.667,16.667,20158.1,0,1490,0.741,6.18,0.64,60.9,62,-0.823,0.425833333,48.91304348,FALSE
STM0484,26.667,50,36.667,13.333,56.667,43.333,20,13.333,6.667,70595.8,1.5,6990,0.56,6.5,0.701,37,91,-0.113,0.167846667,59.0461379,FALSE
STM0496,23.333,43.333,33.333,6.667,60,40,20,13.333,6.667,29371.2,2,11000,0.868,6.5,0.63,36.68,110.67,-0.267,0.372266667,57.10691824,FALSE
STM0514,43.333,53.333,23.333,10,46.667,53.333,26.667,13.333,13.333,34270.5,0,0,0.5,7.72,0.677,27.28,58.67,-0.14,0.128373333,53.50593312,FALSE
STM0518,26.667,36.667,26.667,20,56.667,43.333,26.667,13.333,13.333,29245.2,0,1490,0.5,5.3,0.696,29.17,75,0.083,0.259233333,45.68854569,FALSE
STM0531,23.333,36.667,20,13.333,50,50,26.667,23.333,3.333,29661.9,5.5,12490,0.906,9.24,0.615,107.09,55.33,-0.907,0.438703333,57.40740741,FALSE
STM0537,23.333,36.667,26.667,13.333,60,40,26.667,16.667,10,52257,1.5,1490,0.681,5.33,0.768,14.77,87.67,0.027,0.2669,54.90620491,FALSE
STM0567,6.667,13.333,43.333,3.333,50,50,36.667,16.667,20,45483.5,-1,1490,0.943,5.61,0.679,77.55,159.33,0.02,0.4211,53.7414966,FALSE
STM0644,36.667,56.667,36.667,10,60,40,16.667,6.667,10,40765.8,-1.5,0,0.51,6.46,0.704,30.21,101,0.283,0.325066667,56.62100457,FALSE
STM0648,10,26.667,13.333,13.333,30,70,50,16.667,33.333,96985.4,-5.5,6990,0.365,5.19,0.79,83.61,45.33,-1.67,0.3642,55.78784359,FALSE
STM0651,23.333,40,33.333,10,73.333,26.667,20,16.667,3.333,32366.3,4,0,0.846,8.73,0.695,22.69,104,0.667,0.381493333,52.30607966,FALSE
STM0666,36.667,40,46.667,10,73.333,26.667,13.333,10,3.333,57598.2,2,0,0.553,9.44,0.704,58.48,133.67,1.073,0.3261,54.90578298,FALSE
STM0668,23.333,43.333,33.333,10,56.667,43.333,23.333,6.667,16.667,17783.9,-3.5,5500,0.971,4.21,0.73,84.75,97.67,-0.217,0.3832,54.21940928,FALSE
STM0700,26.667,46.667,30,0,63.333,36.667,10,10,0,46475,3,0,0.7,9.02,0.759,43.19,107,0.67,0.24483,54.09090909,FALSE
STM0709,30,50,40,10,56.667,43.333,30,20,10,53675.2,2.5,5500,0.777,8.1,0.706,81.76,94.67,-0.2,0.346033333,56.96202532,FALSE
STM0716,16.667,30,20,6.667,43.333,56.667,40,23.333,16.667,22169.8,2,1490,0.675,10.27,0.535,94.84,68.33,-1.01,0.24712,50.61728395,FALSE
STM0734,40,56.667,40,3.333,70,30,16.667,10,6.667,64461.9,1,0,0.921,5.91,0.778,51.66,97.67,0.423,0.3204,58.85681947,FALSE
STM0736,30,43.333,23.333,16.667,46.667,53.333,16.667,3.333,13.333,104823.5,-3,13980,0.715,6.14,0.754,55.87,71.67,-0.567,0.466503333,55.85296217,FALSE
STM0744,23.333,50,26.667,26.667,66.667,33.333,23.333,13.333,10,15691.2,0.5,12950,0.5,7.87,0.655,57.51,61.67,-0.27,0.229643333,50.37037037,FALSE
STM0765,16.667,46.667,56.667,10,90,10,6.667,3.333,3.333,44139.1,0,1490,0.631,8.37,0.551,19.08,172,2.087,0.14721,38.06089744,FALSE
STM0768,30,36.667,50,3.333,76.667,23.333,6.667,3.333,3.333,44945.1,-0.5,0,0.498,8.67,0.786,43.22,162.67,1.31,0.33112,64.13210445,FALSE
STM0794,16.667,26.667,33.333,13.333,53.333,46.667,26.667,13.333,13.333,38804.2,-0.5,5500,0.893,5.42,0.731,42.21,107.33,-0.143,0.3367,55.13928915,FALSE
STM0800,30,46.667,26.667,6.667,36.667,63.333,23.333,10,13.333,86872.2,-1.5,0,0.61,4.79,0.578,96.96,81.33,-0.523,0.5941,45.99651871,TRUE
STM0805,30,53.333,36.667,10,56.667,43.333,23.333,6.667,16.667,8771.9,-3,0,0.979,4.64,0.698,9.75,104,0.43,0.377066667,57.31707317,FALSE
STM0820,23.333,43.333,26.667,6.667,53.333,46.667,20,6.667,13.333,50051.3,-2,1490,0.61,10.08,0.767,61.43,84.67,-0.55,0.189166667,58.31501832,FALSE
STM0830,40,56.667,56.667,6.667,63.333,36.667,20,16.667,3.333,27262.2,3.5,0,0.852,8.44,0.759,1.94,140,1.023,0.3719,48.86211513,FALSE
STM0834,30,43.333,43.333,10,63.333,36.667,13.333,10,3.333,59605.1,2,6990,0.69,8.98,0.713,88.46,136.67,0.593,0.382803333,51.80265655,FALSE
STM0840,20,36.667,30,16.667,60,40,23.333,13.333,10,26884,1,2980,0.782,6.14,0.698,35.16,91,-0.013,0.159793333,46.80555556,FALSE
STM0854,30,50,20,13.333,46.667,53.333,26.667,10,16.667,19278.2,-2,0,0.816,7.76,0.574,34.58,52,-0.383,0.5025,38.95348837,FALSE
STM0855,13.333,53.333,36.667,6.667,43.333,56.667,43.333,26.667,16.667,27047.4,2,0,0.564,6.34,0.51,17.48,113.33,-0.3,0.354366667,37.6,FALSE
STM0874,30,46.667,26.667,10,46.667,53.333,33.333,16.667,16.667,26925.8,-1,0,0.888,6.24,0.701,81.23,81.33,-0.403,0.422133333,54.0802213,FALSE
STM0933,30,40,40,13.333,63.333,36.667,13.333,13.333,0,53994.7,3,1490,0.571,9.88,0.698,24.87,117,0.317,0.119986667,58.0195258,FALSE
STM0939,13.333,33.333,40,3.333,60,40,23.333,10,13.333,63560.4,-1,0,0.498,9.74,0.688,15.09,146,0.423,0.203926667,55.45509343,FALSE
STM0944,16.667,53.333,23.333,10,50,50,33.333,13.333,20,12151.9,-2,6990,0.816,4.77,0.692,32.94,71.33,-0.663,0.491766667,46.41744548,FALSE
STM0952,30,53.333,36.667,16.667,63.333,36.667,30,10,20,33830.2,-3.5,5500,0.943,6.38,0.656,19.3,84.67,0.17,0.158103333,57.89473684,FALSE
STM0958,50,60,40,10,66.667,33.333,13.333,13.333,0,34684,3.5,2980,0.582,5.21,0.738,16.57,94.67,0.27,0.267863333,55.00515996,FALSE
STM0972,20,43.333,20,13.333,43.333,56.667,33.333,20,13.333,37782,1,1490,0.892,5.17,0.579,84.53,65,-0.927,0.3535,33.33333333,TRUE
STM1003,23.333,33.333,33.333,23.333,80,20,6.667,0,6.667,52134.6,-2,6990,0.816,9.14,0.62,36.58,123.33,1.257,0.155433333,43.07585247,FALSE
STM1004,23.333,40,30,26.667,53.333,46.667,23.333,16.667,6.667,45661.2,1,2980,0.893,6.4,0.712,35.46,81.33,-0.1,0.204253333,54.4472153,FALSE
STM1088,43.333,56.667,30,6.667,53.333,46.667,20,13.333,6.667,31805.2,1.5,1490,0.921,6.38,0.534,56.23,68.67,-0.327,0.5874,39.38356164,TRUE
STM1098,36.667,56.667,43.333,6.667,56.667,43.333,23.333,13.333,10,18481.3,0.5,0,0.741,6.36,0.726,25.57,91.33,0.12,0.37267,54.58089669,FALSE
STM1109,40,53.333,43.333,3.333,70,30,13.333,10,3.333,33646.8,1.5,0,0.681,6.67,0.675,57.07,94.67,0.653,0.601666667,52.60915868,FALSE
STM1119,30,43.333,40,16.667,66.667,33.333,26.667,16.667,10,20867.6,1,4470,0.741,5.78,0.652,46.45,97.67,0.303,0.372466667,56.7839196,FALSE
STM1187,30,50,36.667,3.333,50,50,26.667,13.333,13.333,35938.5,0,0,0.631,9.83,0.734,11.95,97.67,-0.16,0.398786667,55.3125,FALSE
STM1191,36.667,56.667,26.667,3.333,40,60,26.667,23.333,3.333,6446.3,5.5,0,0.906,11.03,0.676,76.66,65,-0.697,0.587933333,52.87356322,FALSE
STM1224,26.667,46.667,26.667,10,53.333,46.667,20,13.333,6.667,38498.4,2,11000,0.868,5.91,0.579,38.48,91,-0.253,0.38705,41.14737883,TRUE
STM1232,36.667,56.667,30,10,56.667,43.333,23.333,10,13.333,51546.7,-1,2980,0.739,5.95,0.739,28.32,87.67,-0.007,0.374653333,51.49525894,FALSE
STM1253,33.333,33.333,46.667,16.667,66.667,33.333,16.667,13.333,3.333,19985.7,2,6990,0.564,9.58,0.613,48.4,143.33,0.79,0.310593333,47.2693032,FALSE
STM1277,13.333,40,26.667,13.333,60,40,36.667,23.333,13.333,13629.6,3,8480,0.852,9.33,0.643,9.56,84.33,-0.57,0.31012,51.43678161,FALSE
STM1298,23.333,43.333,33.333,10,63.333,36.667,33.333,23.333,10,73038.7,3.5,0,0.542,8.88,0.729,9.31,97.67,-0.123,0.301833333,56.35897436,FALSE
STM1312,33.333,36.667,26.667,13.333,53.333,46.667,26.667,20,6.667,11313.4,3.5,2980,0.77,7.81,0.671,47.31,71.67,-0.14,0.4291,46.105919,FALSE
STM1330,33.333,60,33.333,3.333,53.333,46.667,10,6.667,3.333,30861.9,1,1490,0.921,8.53,0.6,68.62,113.67,0.27,0.661766667,51.34502924,FALSE
STM1335,30,40,20,13.333,46.667,53.333,43.333,43.333,0,7288.9,12,0,-0.023,11.78,0.73,23.78,45.67,-1.127,0.569,48.98989899,FALSE
STM1338,26.667,46.667,36.667,10,60,40,20,6.667,13.333,87252.8,-2,11000,0.816,5.12,0.74,40.15,101,0.107,0.33761,53.68509213,FALSE
STM1392,20,33.333,46.667,10,60,40,6.667,6.667,0,103614.7,2,5500,0.675,6.25,0.564,18.99,178.67,1.21,0.349376667,42.49004705,FALSE
STM1440,40,53.333,46.667,0,63.333,36.667,16.667,10,6.667,17737.2,1,0,0.56,6.03,0.725,30.28,114,0.697,0.6725,56.32183908,FALSE
STM1458,40,50,50,13.333,80,20,6.667,6.667,0,20658.9,2,6990,0.571,4.65,0.727,35.34,140,1.297,0.327523333,55.26770294,FALSE
STM1505,36.667,60,30,6.667,60,40,20,10,10,45736.2,0,0,0.619,5.7,0.716,-0.27,94,0.43,0.251243333,54.65020576,FALSE
STM1558,40,56.667,23.333,16.667,53.333,46.667,20,10,10,78569,-0.5,2980,0.739,4.9,0.698,16.96,58.67,-0.373,0.329813333,52.1194605,FALSE
STM1565,26.667,46.667,23.333,6.667,36.667,63.333,33.333,23.333,10,5369,3.5,1490,0.542,11.33,0.637,31.17,74.67,-1.023,0.439336667,50.69444444,FALSE
STM1583,36.667,60,30,13.333,56.667,43.333,20,13.333,6.667,23617.7,1.5,4470,0.96,5.15,0.587,40.58,71.67,-0.41,0.522233333,42.81200632,TRUE
STM1639,23.333,36.667,43.333,20,76.667,23.333,13.333,10,3.333,20268.4,1.5,8480,0.681,10.24,0.691,41.52,130,0.95,0.252676667,48.02259887,FALSE
STM1645,36.667,53.333,43.333,3.333,70,30,13.333,6.667,6.667,7051.3,0,0,0.619,5.53,0.723,71.15,110.67,0.937,0.476133333,45.83333333,FALSE
STM1681,26.667,50,30,16.667,53.333,46.667,30,20,10,34678,2,6990,0.782,4.95,0.682,44.57,81,-0.21,0.291986667,57.66045549,FALSE
STM1717,26.667,43.333,36.667,6.667,56.667,43.333,23.333,13.333,10,28073,0.5,1490,0.619,6.96,0.71,70.11,110.67,-0.2,0.229643333,56.82414698,FALSE
STM1721,43.333,63.333,33.333,13.333,53.333,46.667,20,6.667,13.333,32395.8,-3,2980,0.966,6.65,0.676,15.88,88,-0.037,0.4448,56.00907029,FALSE
STM1756,23.333,36.667,30,6.667,50,50,26.667,23.333,3.333,31829.5,5.5,1490,0.978,6.35,0.733,46.97,104,-0.303,0.319516667,50.41518387,FALSE
STM1842,26.667,53.333,36.667,3.333,53.333,46.667,26.667,10,16.667,29863.1,-2,0,0.724,5.22,0.687,49.91,104,-0.09,0.471766667,49.49494949,FALSE
STM1853,16.667,36.667,23.333,20,56.667,43.333,33.333,20,13.333,25036.7,1,12490,0.5,8.68,0.646,48.3,71.33,-0.47,0.298536667,52.53456221,FALSE
STM1855,23.333,43.333,20,10,30,70,40,23.333,16.667,26448.2,1,1490,0.631,9.37,0.589,61.9,71.33,-1.067,0.5532,41.77040111,TRUE
STM1894,33.333,50,50,0,60,40,33.333,13.333,20,37018.5,-2,0,0.97,5.22,0.704,20.81,124,0.207,0.337823333,57.17111771,FALSE
STM1907,43.333,50,40,3.333,66.667,33.333,20,6.667,13.333,26610.6,-2,1490,0.97,5.76,0.628,40.42,98,0.52,0.392966667,54.35073628,FALSE
STM1921,16.667,36.667,26.667,16.667,50,50,33.333,3.333,30,73013.1,-8.5,1490,-0.896,4.64,0.737,41.65,84.67,-0.137,0.413366667,55.30753968,FALSE
STM1929,30,53.333,33.333,13.333,63.333,36.667,20,3.333,16.667,29245.4,-4,2980,0.979,5.93,0.617,50.89,88,0.1,0.283776667,54.10447761,FALSE
STM1945,10,36.667,43.333,26.667,83.333,16.667,3.333,3.333,0,20730.7,1,6990,0.56,8.89,0.69,53.91,146,1.663,0.14853,54.64480874,FALSE
STM1958,46.667,60,16.667,13.333,53.333,46.667,26.667,16.667,10,45414.2,1.5,5500,0.782,7.96,0.699,56.48,39,-0.143,0.468033333,49.25373134,FALSE
STM1991,36.667,53.333,33.333,3.333,43.333,56.667,40,26.667,13.333,17594.1,3.5,0,0.915,7.73,0.724,40.76,68.67,-0.737,0.560966667,56.05095541,FALSE
STM2020,23.333,50,26.667,13.333,56.667,43.333,16.667,6.667,10,30146.8,-1,6990,0.629,6.75,0.641,37.95,87.67,-0.013,0.094776667,52.32843137,FALSE
STM2066,30,46.667,26.667,6.667,40,60,23.333,20,3.333,86782.7,4.5,0,0.53,6.27,0.613,-9.39,91,-0.37,0.4828,47.42443593,TRUE
STM2073,30,56.667,33.333,3.333,46.667,53.333,23.333,13.333,10,39715.3,1,1490,0.921,5.05,0.715,69.35,91,-0.483,0.4256,55.83333333,FALSE
STM2175,53.333,63.333,46.667,3.333,70,30,10,10,0,43954.8,2.5,0,0.79,5.89,0.753,4.83,123.67,0.93,0.353266667,58.87772194,FALSE
STM2203,56.667,66.667,50,10,76.667,23.333,13.333,10,3.333,31196.3,1.5,1490,0.862,5.17,0.718,24.55,85.33,0.563,0.55973,53.96270396,FALSE
STM2282,43.333,60,46.667,0,66.667,33.333,13.333,10,3.333,40424.9,2,0,0.571,5.65,0.717,0.22,120.33,0.92,0.511933333,48.55275444,FALSE
STM2327,13.333,46.667,20,6.667,43.333,56.667,33.333,10,23.333,25088.8,-4,2980,0.979,5.79,0.778,24.34,74.67,-1.16,0.533,54.4494721,FALSE
STM2362,30,56.667,36.667,6.667,66.667,33.333,13.333,6.667,6.667,56557.2,-0.5,1490,0.498,5.51,0.751,53.9,110.33,0.437,0.185466667,53.62318841,FALSE
STM2427,13.333,26.667,26.667,16.667,46.667,53.333,36.667,16.667,20,73452.1,-2.5,2980,0.824,5.52,0.736,92,91,-0.683,0.364133333,56.89484127,FALSE
STM2451,23.333,50,33.333,10,50,50,30,16.667,13.333,34429.6,0,0,0.823,5.94,0.753,19.58,94.33,-0.317,0.3974,57.33333333,FALSE
STM2502,23.333,53.333,30,13.333,60,40,23.333,13.333,10,58144.8,0.5,1490,0.822,7.74,0.724,55.76,78,-0.077,0.291906667,54.02075227,FALSE
STM2581,13.333,30,30,13.333,46.667,53.333,23.333,20,3.333,25505,4,1490,0.77,6.67,0.699,36.07,104,-0.593,0.244266667,52.86343612,FALSE
STM2584,30,40,23.333,13.333,50,50,20,16.667,3.333,56943.2,4,4470,0.846,6.81,0.515,40.95,62,-0.64,0.439733333,32.93172691,TRUE
STM2647,26.667,46.667,30,16.667,50,50,26.667,10,16.667,25479.9,-3,6990,0.894,6.56,0.69,33.13,81.33,-0.363,0.31061,55.07246377,FALSE
STM2683,23.333,40,23.333,23.333,56.667,43.333,26.667,23.333,3.333,32584.2,4,6990,0.571,5.98,0.721,12.27,78,-0.3,0.44754,50.96700796,FALSE
STM2776,26.667,36.667,23.333,26.667,63.333,36.667,16.667,16.667,0,34994.5,4.5,5960,0.846,9.26,0.659,59.68,58.67,-0.167,0.385733333,53.31196581,FALSE
STM2780,56.667,63.333,30,3.333,56.667,43.333,16.667,10,6.667,37274,1,0,0.96,4.57,0.547,47.74,49.33,-0.097,0.722133333,44.44444444,TRUE
STM2816,30,40,40,13.333,63.333,36.667,16.667,13.333,3.333,51477.9,2.5,6990,0.553,4.74,0.709,67.97,107.67,0.323,0.406133333,47.48358862,FALSE
STM2834,33.333,36.667,30,6.667,50,50,20,10,10,12908.7,0,1490,0.631,4.9,0.77,46.98,94.33,-0.013,0.362243333,57.57575758,FALSE
STM2846,23.333,50,30,10,46.667,53.333,23.333,6.667,16.667,15594.7,-3,1490,0.968,4.87,0.76,55.29,74.67,-0.38,0.46809,55.96107056,FALSE
STM2865,43.333,56.667,20,3.333,53.333,46.667,10,6.667,3.333,33744.8,1,0,0.951,5.42,0.581,65.23,65,-0.003,0.626266667,42.24422442,TRUE
STM2878,23.333,43.333,30,10,46.667,53.333,26.667,16.667,10,60047.6,2,2980,0.79,8.75,0.592,13.12,100.67,-0.34,0.5229,44.11764706,TRUE
STM2882,33.333,60,30,0,53.333,46.667,10,6.667,3.333,73941.9,1,0,0.862,6.13,0.631,38.2,78,-0.08,0.572666667,48.00777454,TRUE
STM2883,30,56.667,26.667,10,50,50,20,10,10,37112.3,-1,1490,0.748,5.02,0.657,55.51,68.33,-0.63,0.727766667,47.28682171,TRUE
STM2884,36.667,66.667,33.333,6.667,46.667,53.333,6.667,3.333,3.333,42983.3,-0.5,1490,0.972,8.84,0.655,43.37,91,-0.117,0.645633333,47.72357724,TRUE
STM2885,36.667,60,26.667,6.667,46.667,53.333,23.333,13.333,10,62450.7,1,1490,0.978,6.25,0.684,25.51,58.67,-0.697,0.5831,52.30078563,TRUE
STM2905,26.667,50,16.667,20,50,50,30,13.333,16.667,19069.9,-2,5500,0.968,9.35,0.557,12.91,36,-0.637,0.389033333,47.34848485,FALSE
STM2916,33.333,36.667,33.333,13.333,56.667,43.333,30,16.667,13.333,23547.9,0.5,1490,0.741,6.08,0.67,40.17,78.33,-0.107,0.272473333,56.33802817,FALSE
STM2918,53.333,63.333,30,6.667,70,30,13.333,10,3.333,31261.8,1.5,0,0.96,4.96,0.701,24.74,81.33,0.617,0.277223333,59.95670996,FALSE
STM2978,26.667,43.333,36.667,6.667,60,40,23.333,10,13.333,15280.8,-1.5,0,0.724,5.09,0.699,33.43,130,0.56,0.272553333,54.37352246,FALSE
STM3055,23.333,36.667,20,23.333,63.333,36.667,20,13.333,6.667,40216.7,0.5,8480,0.823,5.34,0.722,48.12,55.33,-0.28,0.2854,55.52511416,FALSE
STM3057,46.667,60,43.333,10,73.333,26.667,6.667,6.667,0,41839.8,1,0,0.892,7.77,0.706,38.62,120.33,1.133,0.291893333,60.98388465,FALSE
STM3086,43.333,60,16.667,0,46.667,53.333,16.667,3.333,13.333,73833.2,-3,0,0.649,4.86,0.752,122.81,39,-0.43,0.7183,55.43753161,FALSE
STM3143,26.667,56.667,40,3.333,66.667,33.333,23.333,10,13.333,8850.2,-1.5,0,0.888,4.43,0.725,17.55,120,0.443,0.293926667,52.61044177,FALSE
STM3149,46.667,63.333,43.333,6.667,63.333,36.667,20,13.333,6.667,35947.8,1.5,0,0.96,6.63,0.712,34.71,88.33,0.13,0.6699,53.7993921,FALSE
STM3157,26.667,46.667,13.333,16.667,53.333,46.667,20,13.333,6.667,31438.7,1.5,5960,0.862,5.99,0.708,73.15,29.33,-1.193,0.707833333,56.61016949,FALSE
STM3172,46.667,53.333,40,6.667,66.667,33.333,10,10,0,51858.1,3,0,0.582,6.12,0.716,64.4,88.33,0.343,0.6336,58.95258316,FALSE
STM3174,23.333,40,30,16.667,56.667,43.333,26.667,10,16.667,84037.6,-2.5,4470,0.979,6.12,0.778,40.23,75,-0.173,0.2632,56.21956618,FALSE
STM3199,23.333,46.667,56.667,13.333,86.667,13.333,6.667,0,6.667,61466.6,-2,5500,0.939,5.07,0.695,25.5,178.67,2.183,0.237922667,53.69047619,FALSE
STM3210,13.333,46.667,46.667,3.333,60,40,33.333,20,13.333,65362.5,2,0,0.777,6.15,0.651,-4.15,149.33,0.41,0.320366667,51.77548683,FALSE
STM3227,26.667,30,40,10,66.667,33.333,10,10,0,14304.4,3,11000,0.915,6.97,0.652,7.72,136.67,1.02,0.31348,51.04166667,FALSE
STM3242,30,66.667,40,6.667,63.333,36.667,13.333,3.333,10,43717.9,-2,0,0.61,5.74,0.671,37.98,126.33,1.087,0.3112,49.71050455,FALSE
STM3254,20,50,30,13.333,50,50,16.667,10,6.667,33178,0,1490,0.629,5.28,0.595,50.59,104,-0.053,0.197633333,43.27868852,FALSE
STM3263,26.667,53.333,26.667,3.333,46.667,53.333,16.667,6.667,10,31483,-1,0,0.739,5.54,0.751,22.99,81.33,-0.56,0.43718,55.43981481,FALSE
STM3268,43.333,50,33.333,3.333,66.667,33.333,13.333,13.333,0,24027.8,3.5,0,0.582,9.21,0.662,23.37,104,0.363,0.44391,57.39910314,FALSE
STM3290_S,43.333,50,40,10,66.667,33.333,13.333,10,3.333,49754.3,1.5,5500,0.862,5.35,0.757,29.3,117.33,0.6,0.29471,53.7202381,FALSE
STM3374,30,46.667,26.667,10,56.667,43.333,20,13.333,6.667,36952.4,2,1490,0.79,5.17,0.746,-5.44,91,0,0.25374,56.22605364,FALSE
STM3406,10,40,40,3.333,50,50,36.667,20,16.667,19282.2,0.5,0,0.631,5.02,0.731,68.62,120,-0.32,0.338366667,51.17647059,FALSE
