Protein Name,Tiny,Small,Aliphatic,Aromatic,Non-Polar,Polar,Charged,Basic,Acidic,Molecular Weight,Charge,A280 Molar Extinction Coefficients,Improbability of expression in inclusion bodies,Isoelectric Point,CAI,Instability Index,Aliphatic Index,GRAVY,N-30 Disorder,GPC Content,Effector
CT_020,33.333,36.667,20,13.333,36.667,63.333,26.667,26.667,0,71504.34,7.5,2980,0.972,8.41,0.772,94.26,78,-0.557,0.338157,40.38155803,FALSE
CT_022,30,50,13.333,20,46.667,53.333,23.333,16.667,6.667,12173.94,2.5,4470,0.69,9.56,0.79,12.11,42,-0.71,0.257417,41.89602446,FALSE
CT_024,16.667,26.667,30,6.667,50,50,40,20,20,32785.53,0,1490,0.631,6.27,0.728,46.12,97.67,-0.567,0.307883,43.18442153,FALSE
CT_026,13.333,40,36.667,6.667,50,50,36.667,26.667,10,13409.58,4.5,1490,0.953,10.38,0.754,34.95,110.33,-0.553,0.284673,42.73504274,FALSE
CT_027,30,43.333,40,10,66.667,33.333,16.667,6.667,10,39747.51,-1,1490,0.621,5.6,0.729,60.58,117.33,0.48,0.184373,44.09820585,FALSE
CT_029,26.667,36.667,26.667,10,46.667,53.333,23.333,6.667,16.667,23960.65,-3,1490,0.968,6.1,0.722,46.58,68.33,-0.387,0.283207,44.03669725,FALSE
CT_030,36.667,60,33.333,10,70,30,10,6.667,3.333,23109.25,1,0,0.978,5.55,0.722,65.52,91,0.687,0.32251,42.07119741,FALSE
CT_032,36.667,50,33.333,16.667,66.667,33.333,13.333,10,3.333,62716.23,1,2980,0.942,5.11,0.739,56.6,101,0.283,0.240483,41.43980641,FALSE
CT_033,26.667,40,30,6.667,60,40,26.667,6.667,20,83744.05,-4,1490,0.966,8.79,0.764,55,107.33,-0.003,0.30279,40.29451138,FALSE
CT_039,16.667,33.333,26.667,10,53.333,46.667,36.667,16.667,20,21414.49,-1.5,5500,0.888,4.83,0.753,78.66,81.33,-0.447,0.136047,41.36125654,FALSE
CT_040,20,33.333,16.667,16.667,40,60,40,30,10,37289.2,5,0,0.953,7.03,0.733,35.39,61.67,-0.797,0.24045,43.1840796,FALSE
CT_042,33.333,46.667,30,10,53.333,46.667,23.333,16.667,6.667,76076.39,3,1490,0.7,5.65,0.785,17.04,94.33,0.003,0.331297,42.12893553,FALSE
CT_044,26.667,46.667,36.667,10,70,30,23.333,13.333,10,17147.03,1,1490,0.782,4.83,0.751,35.45,110.33,0.497,0.261727,40.29535865,FALSE
CT_045,26.667,46.667,33.333,13.333,56.667,43.333,23.333,16.667,6.667,54209.51,3,12490,0.666,5.73,0.731,56.67,84.67,-0.153,0.317627,41.8,FALSE
CT_046,36.667,53.333,26.667,0,43.333,56.667,33.333,33.333,0,21648.51,10,0,-0.04,12.47,0.762,13.57,55.33,-0.783,0.441533,41.33986928,FALSE
CT_048,23.333,46.667,33.333,6.667,56.667,43.333,23.333,13.333,10,26488.58,1,1490,0.96,6.95,0.696,75.99,113.67,0.007,0.26191,42.43697479,FALSE
CT_052,30,43.333,20,26.667,66.667,33.333,16.667,16.667,0,42456.86,4,5960,0.542,6.46,0.759,58.64,68.33,0.097,0.19915,41.33685136,FALSE
CT_054,16.667,36.667,16.667,23.333,40,60,46.667,20,26.667,102915.04,-3.5,5500,0.899,5.3,0.709,51.39,52,-0.84,0.347193,42.01618837,FALSE
CT_055,30,53.333,46.667,0,60,40,16.667,3.333,13.333,40344.25,-3,0,0.715,5.07,0.742,68.12,152.67,0.873,0.278943,42.44080146,FALSE
CT_057,30,50,30,10,56.667,43.333,23.333,16.667,6.667,66634.71,2.5,0,0.69,5.68,0.775,44.28,91,0.05,0.32566,42.89662797,FALSE
CT_061,20,33.333,26.667,23.333,43.333,56.667,36.667,20,16.667,28949.05,-0.5,13980,0.979,5.44,0.738,24.96,91,-0.63,0.248627,41.60104987,FALSE
CT_063,26.667,60,40,6.667,70,30,13.333,6.667,6.667,52667.28,-0.5,0,0.739,5.28,0.714,6.07,123.33,0.793,0.22781,43.17394317,FALSE
CT_071,30,46.667,40,6.667,60,40,16.667,13.333,3.333,41762.35,2.5,0,0.69,5.72,0.716,29.37,136.33,0.66,0.29323,41.57894737,FALSE
CT_072,30,33.333,63.333,16.667,83.333,16.667,13.333,10,3.333,69285.42,1,1490,0.83,6.22,0.722,19.24,185.67,1.81,0.154493,42.79569892,FALSE
CT_074,16.667,36.667,26.667,13.333,56.667,43.333,26.667,13.333,13.333,41246.46,0,1490,0.731,6.42,0.747,15.31,100.67,-0.023,0.211087,40.34608379,FALSE
CT_078,40,53.333,46.667,3.333,66.667,33.333,23.333,16.667,6.667,30866.14,2.5,0,0.571,7.18,0.759,65.14,114.33,0.343,0.35701,44.09722222,FALSE
CT_082,46.667,70,26.667,6.667,56.667,43.333,13.333,6.667,6.667,59580.95,-0.5,0,0.972,4.74,0.69,58.07,62,-0.08,0.412587,43.25609031,TRUE
CT_084,26.667,40,36.667,13.333,66.667,33.333,20,20,0,40323.67,5.5,0,0.906,7.16,0.734,24.55,117,0.747,0.318047,38.58195212,FALSE
CT_085,10,36.667,36.667,16.667,53.333,46.667,33.333,16.667,16.667,65354.4,-1.5,1490,0.968,6.58,0.759,71.57,133,0.11,0.220393,42.75862069,FALSE
CT_095,13.333,36.667,36.667,3.333,50,50,43.333,33.333,10,14061.36,6.5,0,0.87,9.04,0.773,35.3,94.33,-0.57,0.3657,37.90322581,FALSE
CT_096,20,33.333,36.667,0,43.333,56.667,36.667,30,6.667,97009.74,7,0,0.702,8.21,0.752,-11.7,110.67,-0.637,0.403493,42.73982829,FALSE
CT_099,36.667,56.667,20,16.667,60,40,20,16.667,3.333,37823.37,4,1490,0.53,7.53,0.737,36.62,55,0.253,0.22755,42.89772727,FALSE
CT_101,30,43.333,46.667,10,76.667,23.333,10,10,0,17660.43,3,5500,0.542,10.13,0.81,17.37,146.33,1.423,0.169483,38.31168831,TRUE
CT_104,33.333,46.667,36.667,10,73.333,26.667,20,10,10,31960.64,0,6990,0.731,5.44,0.769,-9.29,114,0.497,0.216567,44.37012263,FALSE
CT_106,26.667,36.667,26.667,10,46.667,53.333,26.667,20,6.667,34623.03,3.5,0,0.666,9.59,0.767,37.5,94.33,-0.287,0.2647,41.99561404,FALSE
CT_107,23.333,33.333,20,20,53.333,46.667,30,20,10,42682.33,3,5500,0.77,8.83,0.763,79.1,58.67,-0.283,0.316187,41.26126126,FALSE
CT_112,46.667,63.333,23.333,6.667,40,60,23.333,13.333,10,69086.06,1,6990,0.681,5.42,0.74,59.81,58.67,-0.553,0.422927,40.72249589,FALSE
CT_115,23.333,50,33.333,3.333,46.667,53.333,26.667,13.333,13.333,14928.52,0,1490,0.619,9.3,0.718,29.41,100.67,-0.347,0.298153,45.5399061,TRUE
CT_116,36.667,56.667,26.667,3.333,50,50,20,13.333,6.667,13555.17,1.5,0,0.782,7.5,0.755,58.58,94,0.02,0.25133,41.10275689,TRUE
CT_117,33.333,56.667,30,3.333,56.667,43.333,26.667,13.333,13.333,10436.61,-0.5,0,0.629,8.64,0.734,43.37,100.33,0.173,0.236877,47.93650794,TRUE
CT_119,33.333,73.333,23.333,3.333,60,40,6.667,3.333,3.333,30327.09,0,1490,0.967,8.44,0.794,81.89,65,-0.24,0.3884,39.17274939,TRUE
CT_121,33.333,46.667,36.667,0,63.333,36.667,30,16.667,13.333,25464.44,1,0,0.681,4.9,0.734,47.74,88,-0.007,0.39805,40.31339031,FALSE
CT_122,36.667,60,33.333,6.667,56.667,43.333,13.333,10,3.333,20516.74,2,1490,0.925,5.03,0.744,14.02,110,0.673,0.310213,39.60573477,FALSE
CT_124,30,46.667,53.333,3.333,66.667,33.333,26.667,20,6.667,50200.96,3.5,0,0.915,7.13,0.703,33.43,149.67,0.78,0.142423,41.04803493,FALSE
CT_125,30,53.333,23.333,6.667,36.667,63.333,43.333,26.667,16.667,16849.81,3,6990,0.852,10.19,0.754,22.19,45.67,-1.37,0.456083,40.8388521,FALSE
CT_126,33.333,56.667,30,0,43.333,56.667,26.667,20,6.667,14559.98,4,0,0.53,11.02,0.788,60.65,84.33,-0.56,0.339237,42.30769231,FALSE
CT_128,40,50,30,3.333,60,40,13.333,10,3.333,27784.53,2,0,0.962,4.77,0.705,47.27,97.67,0.197,0.360077,41.19241192,FALSE
CT_133,36.667,60,13.333,6.667,26.667,73.333,30,20,10,30401.94,3,6990,0.874,9.66,0.769,90,29.33,-1.543,0.491663,42.66169154,FALSE
CT_134,43.333,66.667,36.667,6.667,70,30,26.667,6.667,20,15119.84,-4,2980,0.734,5.28,0.773,49.73,78,0.61,0.290033,45.16908213,TRUE
CT_135,23.333,63.333,23.333,10,43.333,56.667,23.333,13.333,10,38488.84,0.5,1490,0.892,8.38,0.729,49.25,65,-0.697,0.233023,45.06001847,TRUE
CT_136,26.667,43.333,26.667,16.667,70,30,23.333,10,13.333,26848.89,-1,1490,0.498,5.33,0.731,106.74,81.33,0.41,0.24433,43.19444444,FALSE
CT_137,33.333,50,26.667,16.667,60,40,13.333,3.333,10,31135.76,-2,1490,0.724,6.14,0.722,45.16,74.67,0.31,0.317827,39.47990544,FALSE
CT_138,26.667,56.667,23.333,10,46.667,53.333,26.667,13.333,13.333,35145.97,-1,0,0.51,5.01,0.734,82.68,74.67,-0.2,0.259423,40.71729958,FALSE
CT_145,26.667,43.333,36.667,16.667,63.333,36.667,33.333,13.333,20,69693.85,-2.5,13980,0.979,5.06,0.73,21.65,94.33,-0.197,0.301303,44.66124661,FALSE
CT_146,23.333,50,30,13.333,53.333,46.667,30,13.333,16.667,73504.56,-1.5,4470,0.939,6.26,0.723,50.12,87.67,-0.427,0.272113,43.42369478,FALSE
CT_147,43.333,60,20,6.667,40,60,13.333,10,3.333,162106.57,1.5,0,0.975,8.49,0.701,68.05,49,-0.75,0.41717,41.95402299,TRUE
CT_148,23.333,40,50,3.333,66.667,33.333,16.667,13.333,3.333,57864.63,2.5,0,0.571,8.33,0.779,36.76,159.33,0.857,0.170277,40.09186352,FALSE
CT_150,30,40,16.667,6.667,30,70,36.667,26.667,10,6313.48,5,6990,0.906,10.38,0.889,54.62,52,-1.187,0.423583,34.59119497,FALSE
CT_155,50,60,13.333,3.333,23.333,76.667,33.333,26.667,6.667,35454.43,5.5,0,0.603,9.17,0.743,109.99,29.33,-1.357,0.5663,42.46284501,FALSE
CT_157,40,63.333,10,6.667,36.667,63.333,23.333,10,13.333,45354.14,-1,1490,0.979,9.67,0.724,71.11,35.67,-0.98,0.4952,39.34156379,FALSE
CT_158,30,50,33.333,6.667,50,50,20,16.667,3.333,26450.42,3.5,0,0.666,9.16,0.751,9.46,100.67,-0.013,0.27548,44.63040446,FALSE
CT_169,23.333,30,16.667,13.333,43.333,56.667,26.667,13.333,13.333,10931.58,0,5500,0.5,7.85,0.77,60.61,55.33,-0.66,0.3378,37.19298246,FALSE
CT_170,16.667,30,30,20,63.333,36.667,30,16.667,13.333,42617.75,0,5500,0.621,6.78,0.704,47.37,88,-0.19,0.375043,41.81509754,FALSE
CT_171,43.333,50,23.333,10,53.333,46.667,16.667,10,6.667,28056.06,1,2980,0.782,4.8,0.737,26.78,78,-0.047,0.26652,38.45144357,FALSE
CT_176,30,33.333,33.333,26.667,73.333,26.667,10,10,0,15005.35,2.5,12950,0.553,8.53,0.782,62.72,117,0.893,0.180507,37.5,FALSE
CT_179,36.667,56.667,53.333,10,86.667,13.333,6.667,0,6.667,18779.11,-2,0,0.888,8.99,0.786,20.96,156,2.06,0.200833,38.59649123,TRUE
CT_182,33.333,46.667,26.667,13.333,63.333,36.667,20,20,0,28011.06,6,5500,0.833,5.81,0.723,53.58,81.33,0.103,0.312467,42.09150327,FALSE
CT_183,46.667,53.333,43.333,6.667,66.667,33.333,10,6.667,3.333,60203.26,1,0,0.96,5.85,0.691,21.35,133.33,1.137,0.244427,41.2962963,FALSE
CT_186,26.667,43.333,36.667,10,56.667,43.333,20,3.333,16.667,29014.3,-4,6990,0.943,5.31,0.723,74.48,104.33,0.15,0.220483,41.1154345,FALSE
CT_188,30,36.667,30,6.667,56.667,43.333,30,13.333,16.667,22473.07,-1,0,0.621,6.97,0.762,34.13,91,-0.14,0.33806,41.99346405,FALSE
CT_192,33.333,50,20,10,46.667,53.333,26.667,16.667,10,28020.53,2,0,0.79,5.4,0.752,60.86,68,-0.113,0.301197,40.69767442,TRUE
CT_197,43.333,56.667,33.333,0,50,50,16.667,6.667,10,35922.16,-1,0,0.739,6.09,0.69,51.47,107.33,0.257,0.31124,43.16617502,FALSE
CT_204,16.667,33.333,36.667,20,63.333,36.667,23.333,16.667,6.667,51350.99,2,5500,0.681,9.07,0.685,50.44,139.67,0.757,0.280795,39.90112994,FALSE
CT_205,36.667,46.667,30,3.333,46.667,53.333,23.333,16.667,6.667,61912.86,2.5,0,0.69,6.15,0.679,72.66,88,-0.32,0.35249,38.62815884,FALSE
CT_207,20,36.667,30,13.333,50,50,23.333,13.333,10,61082.35,0.5,2980,0.731,6.3,0.678,36.33,113.67,-0.113,0.216973,38.61566485,FALSE
CT_208,23.333,40,36.667,23.333,70,30,20,16.667,3.333,49496.62,4,8480,0.976,9.28,0.749,78.22,104,0.707,0.169673,38.19444444,FALSE
CT_209,10,26.667,13.333,16.667,40,60,46.667,16.667,30,92903.03,-4,12490,0.894,5.56,0.766,54.23,39,-1.537,0.293987,42.68292683,FALSE
CT_210,36.667,63.333,26.667,13.333,63.333,36.667,13.333,13.333,0,45941.85,3.5,1490,0.797,6.11,0.693,94.83,65,0.073,0.212353,42.23798266,FALSE
CT_213,23.333,43.333,30,10,50,50,26.667,13.333,13.333,26646.61,0,0,0.731,5.4,0.732,56.66,81.33,-0.217,0.32458,43.20987654,FALSE
CT_215,23.333,43.333,36.667,10,56.667,43.333,30,16.667,13.333,37988.36,0.5,1490,0.741,6.31,0.705,16.13,120.33,0.17,0.17511,42.50238777,FALSE
CT_218,26.667,36.667,40,0,50,50,30,20,10,31544.85,3,0,0.77,4.96,0.688,37.15,146.33,0.157,0.320353,42.01877934,FALSE
CT_219,33.333,36.667,46.667,13.333,70,30,10,10,0,33616.53,3,1490,0.915,9.27,0.691,36.56,140,1.33,0.195307,38.17381738,FALSE
CT_220,36.667,53.333,46.667,10,66.667,33.333,20,16.667,3.333,20883.44,3,1490,0.69,7.83,0.732,7.46,136.33,0.79,0.259203,39.89637306,FALSE
CT_223,40,70,33.333,0,53.333,46.667,16.667,6.667,10,29489.22,-1,0,0.945,8.29,0.744,27.27,84.67,-0.237,0.406733,41.69741697,TRUE
CT_224,36.667,66.667,30,6.667,60,40,20,10,10,15956.63,0,1490,0.942,5.01,0.814,109.17,74.67,0.14,0.26992,40.54054054,TRUE
CT_225,33.333,53.333,43.333,13.333,63.333,36.667,10,10,0,13312.46,2.5,1490,0.69,8.64,0.818,36.65,126.67,0.84,0.290627,38.48238482,TRUE
CT_226,33.333,50,23.333,16.667,56.667,43.333,20,16.667,3.333,18870.11,3.5,0,0.582,5.08,0.783,34.17,62,0.053,0.294257,39.73634652,TRUE
CT_227,40,46.667,23.333,16.667,60,40,20,13.333,6.667,14171.49,1.5,4470,0.782,5.7,0.741,107.44,71.67,0.127,0.249917,39.80099502,TRUE
CT_228,60,73.333,23.333,0,40,60,13.333,6.667,6.667,20608.87,0,0,0.979,5.1,0.724,68.36,68.33,-0.01,0.453933,40.43993232,TRUE
CT_229,53.333,70,33.333,3.333,56.667,43.333,13.333,10,3.333,23437.17,2,0,0.925,8.81,0.73,54.48,68.67,0.19,0.396013,42.74691358,TRUE
CT_232,30,56.667,26.667,10,50,50,13.333,10,3.333,12253.7,1.5,1490,0.975,8.47,0.738,38.74,81,-0.147,0.406743,41.95402299,TRUE
CT_233,40,63.333,16.667,10,43.333,56.667,23.333,16.667,6.667,18433.48,2.5,1490,0.974,8.82,0.713,67.59,45.67,-0.793,0.387133,45.25139665,TRUE
CT_236,20,56.667,36.667,3.333,50,50,33.333,6.667,26.667,8720.68,-6,0,0.837,3.86,0.778,67.48,116.67,0.137,0.31351,38.03418803,FALSE
CT_237,43.333,53.333,36.667,6.667,63.333,36.667,13.333,10,3.333,26019.77,2,0,0.868,7.7,0.745,32.18,107.33,0.587,0.273983,41.90093708,FALSE
CT_238,30,50,23.333,10,60,40,16.667,6.667,10,33534.72,-1,1490,0.739,4.86,0.709,45.73,71.33,-0.187,0.24733,41.31607335,FALSE
CT_239,33.333,50,30,6.667,50,50,26.667,13.333,13.333,35326.55,0,6990,0.731,7.03,0.735,-5.45,94.33,-0.273,0.151433,43.29268293,FALSE
CT_240,23.333,33.333,33.333,13.333,63.333,36.667,26.667,20,6.667,22121.88,4,2980,0.762,8.08,0.734,-4.3,110.67,0.163,0.235053,35.15754561,FALSE
CT_243,36.667,50,30,10,53.333,46.667,13.333,3.333,10,38404.01,-2,1490,0.61,7.07,0.694,30.13,91,0.1,0.281417,41.69014085,FALSE
CT_245,30,50,26.667,16.667,50,50,23.333,10,13.333,37219.73,-2,0,0.883,5.64,0.708,72.96,78,0.01,0.27076,41.64222874,FALSE
CT_246,16.667,43.333,33.333,3.333,53.333,46.667,30,10,20,36197.91,-3,0,0.979,5.59,0.716,45.64,104,-0.097,0.256843,40.62816616,FALSE
CT_247,20,36.667,33.333,6.667,60,40,30,20,10,46321.78,2.5,5500,0.571,5.68,0.682,75.42,113.67,0.14,0.279557,39.68992248,FALSE
CT_248,20,43.333,26.667,10,53.333,46.667,23.333,13.333,10,92724.81,1,2980,0.56,5.67,0.77,40.97,81,-0.253,0.24575,38.48670757,FALSE
CT_252,26.667,36.667,30,23.333,63.333,36.667,16.667,13.333,3.333,29997.58,2,12490,0.921,9.38,0.781,35.72,113.67,0.377,0.20546,41.26984127,FALSE
CT_258,36.667,50,36.667,10,70,30,13.333,3.333,10,40302.7,-2.5,1490,0.809,6.32,0.776,13.13,120.33,0.8,0.20156,40.71111111,FALSE
CT_259,13.333,50,26.667,23.333,56.667,43.333,26.667,6.667,20,28085.87,-4.5,8480,0.946,5.91,0.739,22.26,81,-0.227,0.19511,39.62516734,FALSE
CT_261,33.333,53.333,30,10,53.333,46.667,23.333,6.667,16.667,26559.15,-3,2980,0.979,5.55,0.736,26.72,84.67,-0.2,0.2492,40.48640916,FALSE
CT_262,30,46.667,20,23.333,60,40,20,13.333,6.667,28809.13,1.5,0,0.96,6.38,0.702,63.92,58.67,0.187,0.251913,38.78080415,FALSE
CT_265,10,26.667,26.667,10,40,60,43.333,20,23.333,36387.95,-1.5,1490,0.939,5.91,0.762,21.84,87.67,-0.917,0.341613,41.33333333,FALSE
CT_268,16.667,36.667,30,6.667,56.667,43.333,23.333,20,3.333,28690.38,5,5500,0.84,9.98,0.761,76.84,110.33,-0.037,0.290103,40.25641026,FALSE
CT_269,16.667,43.333,33.333,6.667,50,50,26.667,16.667,10,53333.9,1.5,1490,0.862,5.58,0.767,70.83,113.67,-0.363,0.29028,39.53168044,FALSE
CT_270,13.333,30,50,13.333,66.667,33.333,16.667,16.667,0,73427.63,4.5,4470,0.976,9.32,0.75,33.35,172,0.813,0.27215,40.17489712,FALSE
CT_272,16.667,56.667,33.333,10,56.667,43.333,26.667,13.333,13.333,34075.03,-0.5,0,0.498,8.67,0.722,53.21,113.33,0.33,0.21217,40.97452935,FALSE
CT_278,23.333,43.333,30,10,50,50,33.333,20,13.333,54933.7,1.5,5500,0.564,8.53,0.714,-0.5,91,-0.16,0.22572,41.9973545,FALSE
CT_281,23.333,33.333,43.333,16.667,70,30,3.333,0,3.333,26438.29,-1,6990,0.621,6.81,0.727,51.11,159.33,1.21,0.161473,40.40816327,FALSE
CT_284,26.667,50,43.333,16.667,73.333,26.667,16.667,13.333,3.333,54315.41,2.5,0,0.675,5.73,0.743,26.54,117,1.22,0.180403,38.52631579,FALSE
CT_285,20,40,26.667,0,43.333,56.667,40,26.667,13.333,26784.82,4,0,0.91,8.77,0.742,12.9,100.67,-0.703,0.287843,39.58333333,FALSE
CT_287,30,56.667,36.667,6.667,60,40,20,13.333,6.667,40217.11,2,2980,0.69,7.5,0.759,33.46,103.67,0.253,0.28514,41.96843083,FALSE
CT_288,16.667,40,13.333,30,43.333,56.667,36.667,30,6.667,63098.58,4.5,1490,0.571,7.73,0.695,25.3,35.67,-1.107,0.358827,40.78014184,TRUE
CT_294,20,43.333,36.667,16.667,70,30,16.667,3.333,13.333,23474.83,-3.5,4470,0.979,5.87,0.772,82.53,107.33,0.49,0.17967,40.41867955,FALSE
CT_295,16.667,43.333,26.667,6.667,53.333,46.667,33.333,13.333,20,67302.74,-2,5500,0.888,5.06,0.733,92.08,87.67,-0.347,0.298637,41.30190797,FALSE
CT_297,26.667,40,33.333,16.667,46.667,53.333,23.333,16.667,6.667,25561.29,1.5,0,0.631,6.07,0.751,13.5,107.33,0.083,0.228717,39.51149425,FALSE
CT_298,50,53.333,10,10,46.667,53.333,16.667,13.333,3.333,49783.25,2.5,11000,0.571,7.18,0.686,58.16,39,-0.51,0.225757,40.36630037,FALSE
CT_299,30,50,33.333,13.333,63.333,36.667,13.333,6.667,6.667,26996.4,0,2980,0.892,8.17,0.728,72.46,101,0.227,0.302297,43.80165289,FALSE
CT_301,26.667,36.667,30,10,60,40,33.333,23.333,10,107666.41,3.5,2980,0.77,6.24,0.753,30.05,91,-0.31,0.225387,40.17825312,FALSE
CT_302,26.667,50,10,20,50,50,26.667,10,16.667,107036.17,-2,8480,0.51,5.53,0.78,50.03,22.67,-0.86,0.27634,40.21276596,FALSE
CT_305,23.333,40,26.667,16.667,56.667,43.333,36.667,16.667,20,73214.25,-1,1490,0.823,6.18,0.774,18.96,74.67,-0.047,0.195617,38.51282051,FALSE
CT_307,33.333,46.667,36.667,3.333,53.333,46.667,20,6.667,13.333,48684.31,-2,1490,0.888,5.7,0.733,-12.34,117,0.163,0.247537,39.7873956,FALSE
CT_313,30,53.333,33.333,6.667,56.667,43.333,16.667,6.667,10,36140.76,-1,5500,0.498,4.94,0.755,33.91,110.33,0.21,0.304247,40.95528455,FALSE
CT_314,30,50,33.333,6.667,53.333,46.667,36.667,13.333,23.333,154904.78,-3,0,0.968,7.16,0.764,14.34,94.33,-0.103,0.329827,42.49582439,FALSE
CT_317,16.667,20,33.333,10,53.333,46.667,36.667,20,16.667,18742.57,1,1490,0.564,6.32,0.758,48.91,117,-0.13,0.330347,39.88439306,FALSE
CT_319,26.667,50,36.667,0,70,30,16.667,16.667,0,15081.81,5,0,0.603,9.68,0.826,53.97,114,0.05,0.38432,40.37558685,FALSE
CT_320,20,36.667,23.333,16.667,50,50,33.333,20,13.333,20745.83,2,6990,0.777,5.23,0.755,3.67,58.33,-0.43,0.345883,40.61930783,FALSE
CT_322,33.333,50,20,13.333,40,60,30,23.333,6.667,43292.66,3.5,0,0.69,5.36,0.749,53.09,65,-0.747,0.317073,43.45991561,FALSE
CT_323,16.667,36.667,30,6.667,56.667,43.333,36.667,16.667,20,8412.98,-1.5,0,0.888,9.42,0.801,40.27,97.33,-0.18,0.261023,45.04504505,FALSE
CT_328,23.333,40,13.333,26.667,46.667,53.333,33.333,23.333,10,29763.99,2.5,5500,0.782,5.42,0.73,28.95,39,-0.763,0.27947,41.33333333,FALSE
CT_329,20,53.333,40,3.333,53.333,46.667,20,10,10,58621.28,0,0,0.822,9.5,0.699,65.03,139.33,0.56,0.24071,41.26370084,FALSE
CT_331,20,43.333,36.667,13.333,56.667,43.333,26.667,13.333,13.333,70725.51,-1.5,1490,0.936,6.77,0.717,81.39,130,0.193,0.240447,41.39365575,FALSE
CT_332,33.333,50,33.333,0,60,40,20,10,10,53684.98,0,0,0.619,6,0.714,19.25,101,0.213,0.216047,42.7297668,FALSE
CT_334,23.333,46.667,26.667,10,46.667,53.333,20,13.333,6.667,51696.21,2,2980,0.868,6.35,0.728,57.83,94,-0.31,0.277983,41.61313348,FALSE
CT_340,20,36.667,30,16.667,50,50,30,20,10,74428.81,2.5,6990,0.675,5.47,0.733,36.18,87.67,-0.237,0.287563,43.49533628,FALSE
CT_343,23.333,50,30,20,63.333,36.667,20,6.667,13.333,22847.33,-2,9970,0.888,4.73,0.736,18.96,94,0.29,0.19217,41.39020537,FALSE
CT_345,16.667,36.667,20,13.333,56.667,43.333,16.667,13.333,3.333,13134.95,3,1490,0.7,9.86,0.74,82.46,68.33,-0.483,0.39349,40.71038251,TRUE
CT_346,33.333,43.333,20,16.667,50,50,20,20,0,34660.41,5,8480,0.53,6.46,0.741,81.82,68.33,-0.753,0.202373,41.74863388,FALSE
CT_353,16.667,40,36.667,6.667,53.333,46.667,33.333,13.333,20,20522.74,-2,2980,0.97,5.68,0.82,88.44,117,-0.243,0.27292,38.27838828,FALSE
CT_361,36.667,56.667,40,6.667,60,40,20,6.667,13.333,31291.19,-2,0,0.816,5.52,0.724,66.1,107.33,0.613,0.227653,43.20557491,FALSE
CT_362,40,53.333,30,3.333,56.667,43.333,20,13.333,6.667,47648.1,2,0,0.571,5.02,0.771,71.13,87.67,0.153,0.340987,41.35802469,FALSE
CT_363,26.667,33.333,43.333,6.667,63.333,36.667,16.667,13.333,3.333,36675.34,2.5,5500,0.675,5.91,0.751,34.37,136.67,0.463,0.291487,40.39800995,FALSE
CT_364,33.333,50,40,0,63.333,36.667,20,13.333,6.667,27776.9,2,0,0.571,5.92,0.75,-2.44,126.67,0.6,0.288847,40.81364829,FALSE
CT_366,30,56.667,30,6.667,53.333,46.667,16.667,10,6.667,47786.59,0.5,1490,0.967,8.37,0.721,66.86,100.67,-0.077,0.414447,43.99092971,FALSE
